command,execution_time,success
-workload=movielens1 -query_template=template4 -verbose=4,13.051600,True
-workload=movielens1 -query_template=template4 -verbose=4,0.089800,True
-workload=movielens1 -query_template=template4 -verbose=4,0.780886,True
-workload=movielens1 -query_template=template4 -verbose=4,13.190600,True
-workload=movielens1 -query_template=template4 -verbose=4,0.511995,True
-workload=movielens1 -query_template=template4 -verbose=4,0.361525,True
-workload=movielens1 -query_template=template4 -verbose=4,1.088440,True
-workload=movielens1 -query_template=template4 -verbose=4,22.267500,True
-workload=movielens1 -query_template=template4 -verbose=4,7.057610,True
-workload=movielens1 -query_template=template4 -verbose=4,9.318860,True
-workload=movielens1 -query_template=template4 -verbose=4,2.948280,True
-workload=movielens1 -query_template=template4 -verbose=4,0.091955,True
-workload=movielens1 -query_template=template4 -verbose=4,1.397040,True
-workload=movielens1 -query_template=template4 -verbose=4,1.003020,True
-workload=movielens1 -query_template=template4 -verbose=4,0.145791,True
-workload=movielens1 -query_template=template4 -verbose=4,12.142000,True
-workload=movielens1 -query_template=template4 -verbose=4,21.331700,True
-workload=movielens1 -query_template=template4 -verbose=4,10.055900,True
-workload=movielens1 -query_template=template4 -verbose=4,22.570000,True
-workload=movielens1 -query_template=template4 -verbose=4,0.522506,True
-workload=movielens1 -query_template=template4 -verbose=4,25.257300,True
-workload=movielens1 -query_template=template4 -verbose=4,10.653500,True
-workload=movielens1 -query_template=template4 -verbose=4,0.199811,True
-workload=movielens1 -query_template=template4 -verbose=4,22.213400,True
-workload=movielens1 -query_template=template4 -verbose=4,9.327320,True
-workload=movielens1 -query_template=template4 -verbose=4,21.892300,True
-workload=movielens1 -query_template=template4 -verbose=4,0.177227,True
-workload=movielens1 -query_template=template4 -verbose=4,4.590910,True
-workload=movielens1 -query_template=template4 -verbose=4,9.365450,True
-workload=movielens1 -query_template=template4 -verbose=4,24.147900,True
-workload=movielens1 -query_template=template8 -verbose=4,0.285756,True
-workload=movielens1 -query_template=template8 -verbose=4,0.082393,True
-workload=movielens1 -query_template=template8 -verbose=4,0.066623,True
-workload=movielens1 -query_template=template8 -verbose=4,0.134472,True
-workload=movielens1 -query_template=template8 -verbose=4,0.075927,True
-workload=movielens1 -query_template=template8 -verbose=4,0.065494,True
-workload=movielens1 -query_template=template8 -verbose=4,0.250555,True
-workload=movielens1 -query_template=template8 -verbose=4,0.089201,True
-workload=movielens1 -query_template=template8 -verbose=4,0.161188,True
-workload=movielens1 -query_template=template8 -verbose=4,0.098979,True
-workload=movielens1 -query_template=template8 -verbose=4,0.068130,True
-workload=movielens1 -query_template=template8 -verbose=4,0.076220,True
-workload=movielens1 -query_template=template8 -verbose=4,0.063286,True
-workload=movielens1 -query_template=template8 -verbose=4,0.065194,True
-workload=movielens1 -query_template=template8 -verbose=4,0.084614,True
-workload=movielens1 -query_template=template8 -verbose=4,0.246324,True
-workload=movielens1 -query_template=template8 -verbose=4,0.150742,True
-workload=movielens1 -query_template=template8 -verbose=4,0.066276,True
-workload=movielens1 -query_template=template8 -verbose=4,0.077938,True
-workload=movielens1 -query_template=template8 -verbose=4,0.193888,True
-workload=movielens1 -query_template=template8 -verbose=4,0.181572,True
-workload=movielens1 -query_template=template8 -verbose=4,0.071801,True
-workload=movielens1 -query_template=template8 -verbose=4,0.072166,True
