o_order_id,o_customer_sk,weekday,date,store
1,4979,"Friday","2012-04-27",2
2,5788,"Friday","2012-05-25",3
3,3953,"Tuesday","2013-01-01",1
4,6479,"Wednesday","2012-09-05",8
5,6879,"Tuesday","2012-03-20",10
6,5108,"Thursday","2012-07-05",7
7,2203,"Tuesday","2012-02-28",1
8,2647,"Friday","2013-05-10",4
9,6240,"Wednesday","2012-07-25",4
10,2889,"Tuesday","2012-12-25",8
11,4793,"Tuesday","2013-07-16",4
12,1303,"Monday","2012-07-23",7
13,3505,"Wednesday","2012-06-27",2
14,2555,"Friday","2012-01-27",3
15,3081,"Thursday","2012-11-15",3
16,5558,"Thursday","2013-04-04",9
17,5792,"Thursday","2012-01-19",10
18,4665,"Wednesday","2013-12-04",9
19,4,"Wednesday","2013-04-24",11
20,3730,"Tuesday","2012-12-11",2
21,2799,"Thursday","2013-07-25",4
22,3758,"Friday","2012-03-30",6
23,362,"Monday","2012-03-26",8
24,3629,"Tuesday","2013-02-26",10
25,6203,"Tuesday","2012-04-10",4
26,2979,"Thursday","2012-12-06",6
27,6877,"Tuesday","2012-04-24",6
28,6661,"Wednesday","2013-08-28",9
29,6916,"Wednesday","2012-07-25",4
30,1831,"Wednesday","2013-03-20",1
31,2139,"Thursday","2012-05-03",9
32,3384,"Friday","2013-08-23",7
33,2386,"Wednesday","2013-10-30",7
34,3660,"Monday","2012-07-02",2
35,1767,"Thursday","2013-05-09",9
36,6932,"Wednesday","2013-08-21",7
37,1105,"Friday","2012-10-12",5
38,2347,"Tuesday","2012-10-16",8
39,4483,"Wednesday","2012-07-11",8
40,691,"Monday","2012-11-19",9
41,853,"Tuesday","2012-04-24",8
42,2353,"Wednesday","2013-01-09",2
43,552,"Friday","2012-01-06",3
44,2720,"Monday","2013-06-10",2
45,4471,"Wednesday","2013-11-13",9
46,1254,"Wednesday","2013-01-16",1
47,5217,"Wednesday","2013-08-14",1
48,2239,"Wednesday","2012-04-25",9
49,6747,"Wednesday","2013-05-08",5
50,379,"Thursday","2012-06-28",8
51,1251,"Wednesday","2012-06-27",7
52,2923,"Thursday","2012-01-12",4
53,4812,"Monday","2013-02-11",9
54,4275,"Thursday","2013-11-21",2
55,4869,"Wednesday","2013-08-28",8
56,4296,"Friday","2013-07-05",2
57,1500,"Wednesday","2013-05-22",10
58,6496,"Wednesday","2012-06-06",2
59,4780,"Wednesday","2012-12-05",4
60,733,"Wednesday","2012-11-07",8
61,67,"Wednesday","2012-08-08",3
62,3389,"Thursday","2013-01-03",3
63,2041,"Saturday","2013-04-27",4
64,1106,"Monday","2012-10-22",10
65,4398,"Wednesday","2013-11-27",10
66,4159,"Tuesday","2012-10-16",5
67,6759,"Tuesday","2012-10-02",3
68,1226,"Monday","2012-12-24",5
69,2221,"Wednesday","2013-09-11",1
70,5747,"Wednesday","2013-11-27",3
71,4943,"Thursday","2013-12-19",5
72,5306,"Friday","2012-06-01",6
73,5347,"Wednesday","2013-07-24",2
74,1449,"Wednesday","2012-08-08",2
75,723,"Wednesday","2012-07-11",10
76,1270,"Friday","2012-11-30",10
77,5378,"Saturday","2013-02-16",4
78,2344,"Wednesday","2013-02-20",2
79,250,"Wednesday","2013-02-13",1
80,1433,"Friday","2012-06-29",2
81,4884,"Friday","2013-12-20",2
82,5203,"Friday","2012-05-04",9
83,5340,"Sunday","2013-12-15",8
84,4173,"Sunday","2012-09-09",10
85,6274,"Tuesday","2013-04-09",5
86,1501,"Monday","2012-12-03",8
87,5848,"Saturday","2012-02-11",4
88,2664,"Wednesday","2013-02-13",1
89,5527,"Tuesday","2012-10-30",1
90,3540,"Wednesday","2013-02-13",7
91,3473,"Tuesday","2012-05-15",2
92,6224,"Thursday","2013-05-23",2
93,5539,"Wednesday","2013-04-03",7
94,2340,"Tuesday","2013-04-16",7
95,190,"Tuesday","2013-01-01",9
96,3703,"Tuesday","2012-05-15",1
97,5370,"Monday","2013-11-18",1
98,4449,"Tuesday","2013-10-29",8
99,6252,"Thursday","2013-09-26",10
100,2789,"Monday","2013-01-28",9
101,6417,"Wednesday","2012-09-19",8
102,5958,"Thursday","2013-10-24",5
103,4463,"Wednesday","2013-09-18",7
104,1038,"Wednesday","2013-10-16",6
105,960,"Wednesday","2012-12-12",8
106,4737,"Wednesday","2012-02-08",6
107,2743,"Tuesday","2013-04-23",3
108,2179,"Friday","2013-06-14",10
109,4449,"Tuesday","2013-08-06",10
110,4971,"Monday","2012-09-17",6
111,2065,"Wednesday","2012-11-21",2
112,1196,"Wednesday","2013-01-09",8
113,6774,"Wednesday","2012-02-15",4
114,2307,"Wednesday","2012-01-04",4
115,1437,"Friday","2012-02-24",3
116,3234,"Monday","2013-04-08",8
117,1429,"Monday","2012-03-12",8
118,1017,"Wednesday","2012-12-12",5
119,5397,"Monday","2013-01-28",5
120,3793,"Thursday","2012-05-24",11
121,1797,"Saturday","2013-05-04",2
122,2937,"Monday","2012-07-30",9
123,70,"Thursday","2013-01-10",11
124,368,"Friday","2013-04-05",9
125,2739,"Friday","2012-06-08",3
126,2290,"Friday","2012-03-02",4
127,3379,"Thursday","2013-05-16",11
128,2633,"Wednesday","2013-08-14",11
129,1373,"Monday","2012-02-27",2
130,4630,"Tuesday","2012-05-29",1
131,2833,"Tuesday","2013-09-17",10
132,3872,"Tuesday","2013-08-06",5
133,4779,"Wednesday","2013-09-18",7
134,1533,"Wednesday","2012-11-14",6
135,5204,"Friday","2013-06-21",4
136,4981,"Friday","2012-06-22",9
137,2474,"Wednesday","2012-04-18",6
138,1701,"Tuesday","2012-05-22",3
139,3285,"Wednesday","2012-12-26",5
140,2438,"Wednesday","2012-02-15",1
141,4123,"Tuesday","2012-11-20",10
142,6342,"Tuesday","2013-04-30",2
143,4678,"Wednesday","2012-04-18",11
144,5575,"Tuesday","2013-09-10",6
145,3627,"Tuesday","2013-01-22",10
146,2217,"Thursday","2012-10-11",9
147,4572,"Thursday","2012-01-19",1
148,2225,"Thursday","2012-07-05",8
149,2094,"Sunday","2012-06-24",5
150,1525,"Saturday","2012-03-24",9
151,3168,"Wednesday","2013-04-03",11
152,2822,"Tuesday","2013-02-05",3
153,3221,"Tuesday","2012-09-11",3
154,6568,"Tuesday","2013-01-01",11
155,2148,"Thursday","2012-10-11",8
156,4942,"Friday","2013-05-03",5
157,1509,"Wednesday","2012-08-01",4
158,743,"Wednesday","2012-08-29",8
159,5241,"Wednesday","2012-08-22",3
160,5749,"Thursday","2013-11-21",4
161,6264,"Thursday","2012-08-23",2
162,5064,"Monday","2012-07-02",11
163,4673,"Wednesday","2013-10-23",6
164,2069,"Tuesday","2012-08-14",6
165,6750,"Thursday","2013-04-11",2
166,6457,"Wednesday","2012-08-08",2
167,820,"Tuesday","2013-04-02",9
168,6492,"Tuesday","2013-09-03",11
169,2808,"Thursday","2012-02-02",8
170,4261,"Friday","2013-06-28",4
171,3082,"Wednesday","2012-12-05",10
172,2864,"Saturday","2013-09-21",6
173,4344,"Monday","2013-02-25",6
174,3566,"Wednesday","2013-01-16",10
175,255,"Thursday","2012-08-23",11
176,3117,"Friday","2013-07-05",5
177,1553,"Monday","2013-09-30",8
178,1126,"Wednesday","2013-12-04",8
179,5951,"Monday","2013-03-18",3
180,2731,"Tuesday","2012-08-14",9
181,1706,"Wednesday","2013-05-01",5
182,69,"Saturday","2013-12-14",10
183,1104,"Tuesday","2012-04-17",4
184,1725,"Monday","2013-07-01",4
185,2304,"Monday","2013-02-25",2
186,6887,"Monday","2013-05-27",11
187,2347,"Thursday","2012-06-28",2
188,3686,"Saturday","2012-09-01",2
189,1060,"Tuesday","2012-06-19",5
190,6605,"Monday","2012-10-08",3
191,2152,"Friday","2013-03-29",6
192,4067,"Monday","2012-05-28",6
193,6442,"Saturday","2013-05-18",4
194,4410,"Wednesday","2012-05-02",11
195,5904,"Friday","2012-06-22",9
196,2098,"Thursday","2012-02-09",11
197,2903,"Tuesday","2013-09-24",9
198,4727,"Wednesday","2013-07-17",5
199,6011,"Wednesday","2013-08-14",6
200,2791,"Tuesday","2013-01-01",2
201,181,"Tuesday","2013-04-16",1
202,3474,"Sunday","2013-03-10",2
203,5832,"Friday","2013-09-06",9
204,2887,"Thursday","2013-10-24",1
205,2425,"Tuesday","2012-11-13",4
206,4842,"Tuesday","2013-09-24",10
207,1196,"Wednesday","2012-11-28",9
208,5609,"Friday","2012-06-01",2
209,486,"Tuesday","2012-06-12",10
210,212,"Wednesday","2012-02-29",4
211,1731,"Monday","2013-05-20",6
212,2978,"Wednesday","2013-10-02",11
213,5722,"Wednesday","2013-06-12",5
214,1160,"Tuesday","2012-09-18",8
215,3988,"Wednesday","2012-02-29",7
216,2843,"Friday","2012-07-06",6
217,6191,"Wednesday","2012-07-18",9
218,4633,"Tuesday","2012-04-24",5
219,5836,"Tuesday","2012-07-31",6
220,6054,"Thursday","2013-01-17",8
221,3486,"Friday","2012-05-04",6
222,2402,"Wednesday","2013-01-23",8
223,5179,"Saturday","2012-08-04",9
224,6938,"Monday","2013-06-17",10
225,2733,"Wednesday","2012-04-11",10
226,2633,"Friday","2013-06-14",3
227,3807,"Friday","2012-04-27",10
228,4629,"Monday","2013-07-01",11
229,191,"Wednesday","2013-07-17",1
230,2363,"Wednesday","2013-01-30",8
231,2564,"Tuesday","2013-01-29",8
232,6044,"Wednesday","2012-12-26",1
233,2862,"Friday","2013-04-05",5
234,5432,"Sunday","2012-12-16",9
235,6010,"Thursday","2012-11-15",6
236,2639,"Thursday","2013-11-21",10
237,1766,"Sunday","2012-02-19",9
238,2429,"Tuesday","2012-05-15",6
239,4850,"Saturday","2013-01-26",10
240,4951,"Friday","2012-02-17",4
241,4972,"Tuesday","2013-12-10",11
242,2082,"Wednesday","2012-03-14",7
243,3570,"Wednesday","2013-02-06",10
244,6200,"Tuesday","2013-05-07",4
245,5320,"Friday","2012-09-21",9
246,2135,"Saturday","2013-09-21",7
247,3544,"Tuesday","2013-01-08",6
248,3997,"Tuesday","2013-04-09",10
249,2491,"Sunday","2012-09-30",6
250,903,"Monday","2012-09-24",8
251,750,"Wednesday","2012-01-04",1
252,6674,"Wednesday","2012-03-28",7
253,1111,"Monday","2012-08-27",9
254,6269,"Thursday","2013-09-26",7
255,196,"Thursday","2012-06-28",1
256,6107,"Thursday","2012-04-26",6
257,4971,"Thursday","2012-12-13",1
258,5441,"Tuesday","2013-05-21",3
259,5508,"Wednesday","2012-06-13",6
260,4206,"Tuesday","2013-08-27",9
261,2817,"Tuesday","2012-05-08",4
262,6754,"Monday","2013-11-25",2
263,3124,"Saturday","2013-03-02",6
264,4496,"Thursday","2012-10-18",1
265,6570,"Saturday","2012-05-12",9
266,6549,"Thursday","2012-11-08",1
267,3995,"Monday","2013-01-28",4
268,4394,"Wednesday","2012-07-04",3
269,3620,"Thursday","2012-02-02",4
270,5643,"Monday","2013-06-03",3
271,330,"Thursday","2012-05-17",4
272,5119,"Saturday","2012-12-29",8
273,6444,"Thursday","2012-07-12",6
274,3298,"Wednesday","2013-04-03",9
275,6496,"Wednesday","2013-07-24",11
276,138,"Sunday","2012-09-23",3
277,1634,"Sunday","2013-09-29",3
278,5864,"Monday","2012-04-09",4
279,2102,"Wednesday","2013-02-13",10
280,470,"Friday","2012-02-03",4
281,5859,"Thursday","2012-12-06",8
282,5191,"Tuesday","2012-04-10",7
283,4112,"Monday","2012-07-16",2
284,6832,"Thursday","2012-06-21",11
285,4741,"Monday","2013-08-19",4
286,5870,"Wednesday","2013-05-01",10
287,2307,"Friday","2013-02-22",7
288,812,"Wednesday","2013-01-02",3
289,2279,"Wednesday","2012-10-10",11
290,5358,"Wednesday","2012-11-07",3
291,497,"Wednesday","2013-01-09",10
292,5729,"Monday","2013-12-16",1
293,6928,"Thursday","2012-02-02",4
294,1934,"Thursday","2012-04-12",11
295,1614,"Friday","2013-11-29",9
296,3470,"Tuesday","2012-10-23",9
297,4311,"Wednesday","2013-02-27",6
298,4801,"Tuesday","2012-03-06",9
299,1123,"Thursday","2012-02-09",11
300,4924,"Tuesday","2012-03-13",11
301,2900,"Thursday","2013-05-02",2
302,6467,"Wednesday","2012-07-18",7
303,2064,"Thursday","2013-11-28",3
304,6408,"Friday","2012-11-30",1
305,1060,"Friday","2012-09-21",7
306,5522,"Wednesday","2012-09-05",7
307,4039,"Tuesday","2012-12-11",1
308,788,"Thursday","2012-05-31",9
309,5079,"Tuesday","2012-02-14",1
310,3611,"Monday","2012-07-16",1
311,3082,"Wednesday","2013-01-23",4
312,5810,"Wednesday","2012-11-28",5
313,6085,"Thursday","2013-04-18",4
314,2625,"Tuesday","2012-09-04",10
315,5935,"Wednesday","2012-07-25",2
316,4237,"Tuesday","2013-10-01",8
317,271,"Saturday","2013-06-29",3
318,4864,"Thursday","2012-05-17",11
319,5434,"Thursday","2013-11-21",1
320,2429,"Wednesday","2012-09-26",9
321,4573,"Wednesday","2013-06-12",7
322,1747,"Wednesday","2013-04-24",3
323,6237,"Monday","2012-09-17",7
324,6332,"Friday","2013-05-17",6
325,684,"Tuesday","2012-04-03",9
326,3338,"Monday","2012-08-27",11
327,813,"Thursday","2013-10-03",11
328,2400,"Sunday","2012-04-01",9
329,5781,"Tuesday","2013-11-12",8
330,3696,"Wednesday","2012-07-11",8
331,3297,"Tuesday","2013-01-01",11
332,2327,"Monday","2013-09-16",8
333,2771,"Tuesday","2012-06-19",7
334,973,"Wednesday","2012-02-01",1
335,915,"Friday","2013-11-29",6
336,2904,"Sunday","2012-03-11",11
337,386,"Wednesday","2013-04-24",8
338,896,"Friday","2013-12-27",1
339,2860,"Tuesday","2013-11-05",5
340,323,"Tuesday","2013-01-08",10
341,5374,"Wednesday","2013-06-26",6
342,5148,"Friday","2013-02-01",6
343,6055,"Thursday","2012-03-15",7
344,4814,"Monday","2012-06-18",3
345,1665,"Wednesday","2012-07-25",8
346,5135,"Thursday","2013-06-06",8
347,6197,"Friday","2013-04-26",10
348,52,"Thursday","2013-01-31",4
349,2172,"Tuesday","2013-04-30",2
350,6089,"Thursday","2013-08-01",6
351,4006,"Wednesday","2013-03-27",9
352,3534,"Wednesday","2013-12-11",8
353,1933,"Thursday","2012-03-22",6
354,5984,"Saturday","2012-08-04",2
355,478,"Friday","2013-10-04",4
356,1625,"Wednesday","2012-09-12",9
357,6450,"Friday","2013-09-20",7
358,3439,"Monday","2013-03-25",2
359,4722,"Wednesday","2012-02-29",4
360,5775,"Monday","2013-01-07",1
361,1601,"Wednesday","2012-02-15",3
362,4690,"Monday","2013-12-16",5
363,2755,"Thursday","2013-01-31",11
364,1882,"Thursday","2013-09-05",10
365,5581,"Tuesday","2012-02-28",4
366,620,"Saturday","2013-05-25",3
367,6694,"Wednesday","2012-06-27",11
368,5947,"Friday","2013-04-12",5
369,5144,"Saturday","2012-12-08",8
370,3903,"Saturday","2012-04-14",10
371,4843,"Thursday","2013-03-21",6
372,846,"Tuesday","2012-07-10",7
373,6554,"Friday","2012-10-19",2
374,6288,"Saturday","2012-05-05",3
375,4200,"Tuesday","2013-01-29",4
376,2677,"Tuesday","2012-09-04",7
377,6319,"Wednesday","2012-06-27",2
378,3396,"Wednesday","2012-04-11",7
379,712,"Thursday","2012-12-20",6
380,4009,"Wednesday","2012-08-15",11
381,3976,"Wednesday","2012-08-29",9
382,4542,"Tuesday","2013-08-27",9
383,3117,"Thursday","2012-05-17",4
384,6267,"Tuesday","2013-05-07",10
385,1912,"Wednesday","2012-04-18",1
386,5563,"Friday","2013-01-18",11
387,6448,"Friday","2013-07-26",5
388,5945,"Monday","2012-10-15",4
389,5623,"Sunday","2013-11-03",9
390,3059,"Thursday","2012-10-25",7
391,4404,"Friday","2013-05-10",3
392,7028,"Wednesday","2013-01-02",8
393,5865,"Tuesday","2012-01-24",9
394,6043,"Sunday","2012-04-15",11
395,2691,"Saturday","2013-02-09",5
396,809,"Sunday","2013-03-24",2
397,890,"Monday","2013-04-01",5
398,3744,"Friday","2012-11-09",8
399,1722,"Monday","2012-06-25",3
400,1902,"Thursday","2012-07-19",5
401,2279,"Wednesday","2012-05-09",8
402,1731,"Tuesday","2012-01-31",8
403,1489,"Friday","2013-08-16",2
404,5541,"Saturday","2012-10-13",8
405,4392,"Tuesday","2012-08-07",11
406,2910,"Friday","2012-08-24",1
407,4030,"Friday","2012-02-03",5
408,2831,"Wednesday","2013-02-06",9
409,3063,"Wednesday","2013-06-12",6
410,5405,"Thursday","2013-02-14",10
411,172,"Friday","2013-08-16",1
412,4987,"Wednesday","2013-05-15",7
413,3276,"Tuesday","2013-08-27",9
414,366,"Tuesday","2013-05-07",10
415,31,"Friday","2012-05-18",9
416,4772,"Friday","2013-11-22",10
417,6195,"Wednesday","2012-11-14",1
418,1482,"Wednesday","2012-11-21",10
419,5133,"Wednesday","2013-09-18",8
420,5076,"Monday","2012-06-18",4
421,1617,"Thursday","2013-07-18",7
422,3198,"Thursday","2013-05-02",4
423,6634,"Wednesday","2012-12-12",6
424,5227,"Wednesday","2013-03-06",5
425,5333,"Saturday","2012-11-10",5
426,595,"Wednesday","2013-12-25",1
427,731,"Monday","2012-06-11",11
428,1494,"Friday","2012-02-17",1
429,4414,"Wednesday","2013-01-30",2
430,6246,"Wednesday","2012-01-11",6
431,3555,"Friday","2013-09-27",9
432,4687,"Monday","2012-10-01",2
433,6021,"Saturday","2013-12-07",4
434,5896,"Tuesday","2013-12-17",7
435,6055,"Monday","2012-10-15",10
436,4397,"Wednesday","2012-07-04",2
437,3478,"Tuesday","2013-03-05",3
438,3333,"Wednesday","2013-11-06",6
439,1423,"Monday","2012-08-20",4
440,6221,"Wednesday","2013-01-09",5
441,5025,"Tuesday","2013-09-10",9
442,6396,"Wednesday","2013-03-06",9
443,2011,"Thursday","2013-11-21",10
444,3585,"Wednesday","2012-04-11",10
445,395,"Saturday","2013-10-19",9
446,4117,"Monday","2013-04-22",5
447,3646,"Monday","2012-07-30",3
448,5644,"Thursday","2013-06-13",11
449,3886,"Saturday","2013-10-26",6
450,2141,"Friday","2012-03-09",3
451,4265,"Thursday","2012-09-20",7
452,204,"Friday","2013-03-01",3
453,4006,"Saturday","2013-05-25",3
454,1036,"Tuesday","2013-04-23",2
455,4932,"Tuesday","2013-12-03",8
456,6480,"Wednesday","2012-04-04",3
457,6250,"Tuesday","2012-12-18",9
458,2002,"Thursday","2012-12-06",4
459,5663,"Wednesday","2012-11-14",2
460,5265,"Wednesday","2012-12-12",11
461,4952,"Thursday","2013-04-18",5
462,516,"Tuesday","2012-05-01",8
463,6459,"Wednesday","2012-05-09",8
464,2917,"Monday","2013-08-19",5
465,95,"Wednesday","2013-10-09",3
466,2558,"Tuesday","2012-07-10",6
467,4765,"Wednesday","2012-11-21",7
468,3114,"Wednesday","2012-12-26",1
469,329,"Thursday","2013-08-15",10
470,1858,"Wednesday","2013-12-11",5
471,1051,"Wednesday","2013-02-13",7
472,2330,"Saturday","2013-07-20",11
473,5992,"Friday","2013-03-01",11
474,4042,"Monday","2013-10-21",8
475,4545,"Friday","2012-02-24",3
476,6529,"Friday","2013-09-06",6
477,3962,"Wednesday","2013-02-20",2
478,275,"Wednesday","2012-05-23",6
479,3251,"Monday","2012-07-09",3
480,708,"Monday","2012-04-30",6
481,4712,"Thursday","2012-07-19",5
482,6052,"Wednesday","2012-11-28",10
483,2774,"Wednesday","2013-05-15",10
484,5057,"Tuesday","2013-10-01",7
485,793,"Wednesday","2012-05-23",8
486,4261,"Wednesday","2012-08-29",9
487,2071,"Wednesday","2012-06-27",10
488,4629,"Monday","2013-07-29",6
489,3243,"Monday","2013-03-04",2
490,4162,"Friday","2013-04-12",2
491,2772,"Wednesday","2012-08-29",4
492,3507,"Wednesday","2012-04-25",2
493,1197,"Sunday","2012-11-25",10
494,5609,"Wednesday","2012-02-01",9
495,3349,"Monday","2013-03-25",11
496,3279,"Wednesday","2012-09-19",7
497,3461,"Saturday","2012-09-01",3
498,2144,"Wednesday","2013-12-25",5
499,673,"Friday","2012-05-04",2
500,4698,"Friday","2012-07-27",1
501,2299,"Thursday","2012-05-17",10
502,1275,"Thursday","2012-02-02",2
503,2282,"Saturday","2012-02-11",6
504,1983,"Friday","2013-02-08",11
505,1194,"Thursday","2012-02-09",6
506,1111,"Friday","2012-01-06",7
507,5517,"Friday","2013-10-04",6
508,6772,"Friday","2013-02-08",7
